SID,semester_code,avg_score_mean,avg_score_min,score_pctile_mean,score_pctile_min,completion_rate_mean,completion_rate_min
19040019,F2024,42.56307692307693,42.56307692307693,0.6857142857142857,0.6857142857142857,0.975,0.975
19040019,SP2025,46.43891891891892,46.43891891891892,0.8201438848920863,0.8201438848920863,1.0,1.0
19040020,F2024,44.52475,44.52475,0.7942857142857143,0.7942857142857143,1.0,1.0
19040020,SP2025,54.81263157894737,54.81263157894737,0.9496402877697842,0.9496402877697842,1.0,1.0
19040024,F2024,55.74171428571428,43.03142857142857,0.7137881219903692,0.7028571428571428,0.9375,0.875
19040024,SP2025,53.81305305305305,42.81351351351351,0.8266029512156698,0.7553956834532374,0.9821428571428572,0.9642857142857143
19040025,F2024,51.813809523809525,49.885714285714286,0.5541977984372326,0.5449438202247191,0.47444444444444445,0.3888888888888889
19040025,SP2025,0.0,0.0,0.24075045620437957,0.240625,0.2186147186147186,0.15151515151515152
19040026,F2024,51.79757575757576,44.519999999999996,0.6912400290065265,0.5939086294416244,0.4902777777777778,0.3055555555555556
19040026,SP2025,48.59849206349206,33.624761904761904,0.78125,0.5625,0.4023341523341524,0.3181818181818182
19040041,F2024,0.0,0.0,0.15251702232253192,0.12857142857142856,0.20419753086419754,0.09259259259259259
19040046,F2024,29.966666666666665,29.966666666666665,0.4010152284263959,0.4010152284263959,0.16666666666666666,0.16666666666666666
19040046,SP2025,0.0,0.0,0.240625,0.240625,0.15151515151515152,0.15151515151515152
19040054,F2024,56.513938223938226,42.68571428571429,0.5602863172303656,0.4606741573033708,0.4512962962962963,0.3425925925925926
19040054,SP2025,0.0,0.0,0.24075045620437957,0.240625,0.2186147186147186,0.15151515151515152
19040068,F2024,54.97165,37.1065,0.7014446227929374,0.5714285714285714,1.0,1.0
19040068,SP2025,0.0,0.0,0.2409415533266817,0.24087591240875914,0.25096525096525096,0.21621621621621623
19040075,F2024,72.75036716171617,70.34990099009902,0.7594536017795015,0.6649746192893401,0.9475925925925925,0.9351851851851852
19040075,SP2025,62.611022727272726,48.82749999999999,0.6935675182481752,0.6496350364963503,0.7619047619047619,0.6666666666666666
19040093,F2024,12.493703703703703,0.0,0.2464256517641563,0.12857142857142856,0.2288888888888889,0.16666666666666666
19040093,SP2025,3.6888888888888887,0.0,0.32729436888445446,0.24087591240875914,0.2881127881127881,0.22727272727272727
19040097,F2024,54.40804545454546,44.874,0.48743718592964824,0.4271356783919598,0.3856258325008325,0.09821428571428571
19040097,SP2025,59.812622377622375,53.81818181818182,0.47155688622754494,0.3083832335329341,0.394591212458287,0.15714285714285714
19040109,F2024,54.417932841152655,5.515384615384615,0.558,0.416,0.3922235726836552,0.2872340425531915
19040109,SP2025,85.81933828076686,71.36,0.6153112760255617,0.5757575757575758,0.8395800419788751,0.6818181818181818
19040127,F2024,35.61913580246914,5.344444444444445,0.5485050503404464,0.3248730964467005,0.5472222222222223,0.16666666666666666
19040127,SP2025,22.47811594202899,18.095714285714287,0.5326814096168321,0.5109489051094891,0.4720174720174721,0.3484848484848485
19040128,F2024,55.07144867118291,38.875,0.6591348559043763,0.43820224719101125,0.8417283950617284,0.64
19040128,SP2025,27.815779967159276,0.0,0.5464790211626319,0.24087591240875914,0.49791349791349787,0.2857142857142857
19040150,F2024,75.36527421383647,47.132,0.9475391981922524,0.9390862944162437,0.9938271604938271,0.9814814814814815
19040150,SP2025,81.23037262968744,56.96947368421053,0.9576384148155928,0.9051094890510949,0.9343434343434343,0.803030303030303
19040156,F2024,49.648,49.648,0.9828571428571429,0.9828571428571429,0.875,0.875
19040156,SP2025,0.0,0.0,0.24100719424460432,0.24100719424460432,0.21621621621621623,0.21621621621621623
19040158,F2024,64.984075,45.83775,0.9343820224719102,0.88,1.0,1.0
19040158,SP2025,63.96322368421053,56.178947368421056,0.9783122407183742,0.9712230215827338,1.0,1.0
19040165,F2024,94.99639124233349,90.85365853658537,0.879,0.864,0.9893617021276596,0.9574468085106383
19040165,SP2025,95.94350035860091,92.27684210526316,0.7734745413316841,0.7070707070707071,0.9545454545454546,0.8181818181818182
19040175,F2024,0.0,0.0,0.15136436597110753,0.12857142857142856,0.26,0.2
19040175,SP2025,0.0,0.0,0.2409415533266817,0.24087591240875914,0.25096525096525096,0.21621621621621623
19040180,F2024,87.51054953271029,82.9568,0.916343466605829,0.883248730964467,0.9953703703703703,0.9907407407407407
19040180,SP2025,78.01338624338624,60.28074074074074,0.8165830291970803,0.79375,0.9594155844155845,0.9545454545454546
19040195,F2024,32.84928571428571,32.84928571428571,0.49142857142857144,0.49142857142857144,0.7,0.7
19040195,SP2025,41.595238095238095,41.595238095238095,0.7194244604316546,0.7194244604316546,0.5675675675675675,0.5675675675675675
19040200,F2024,39.78211180124224,37.62857142857143,0.5477207062600321,0.43258426966292135,0.7075,0.575
19040200,SP2025,10.217678571428571,9.7225,0.4927794990285144,0.4892086330935252,0.46621621621621623,0.43243243243243246
19040228,F2024,26.11671590058687,16.67238095238095,0.3783412503768404,0.3142857142857143,0.4440123456790124,0.28703703703703703
19040228,SP2025,18.752121212121214,0.0,0.37937770221778777,0.24087591240875914,0.27842127842127845,0.21621621621621623
19040230,F2024,0.0,0.0,0.15251702232253192,0.12857142857142856,0.20419753086419754,0.09259259259259259
19040299,F2024,0.0,0.0,0.1564070351758794,0.14321608040201006,0.1533528971028971,0.05357142857142857
19040301,F2024,12.575754985754985,0.0,0.29480109616423994,0.12857142857142856,0.2955555555555555,0.16666666666666666
19040301,SP2025,0.0,0.0,0.24083603555112112,0.240625,0.21781521781521782,0.15151515151515152
19040318,F2024,54.21452650443313,45.6341935483871,0.701058466619409,0.5380710659898477,0.8129012345679012,0.7037037037037037
19040318,SP2025,48.296785539606596,36.7830303030303,0.6383274037704143,0.6131386861313869,0.8827951327951329,0.8636363636363636
19042448,F2024,49.394,49.394,0.5279187817258884,0.5279187817258884,0.2777777777777778,0.2777777777777778
19042448,SP2025,76.06095238095239,76.06095238095239,0.73125,0.73125,0.9545454545454546,0.9545454545454546
19042477,F2024,80.30037128712871,68.255,0.803442080647921,0.7134831460674157,0.9475925925925925,0.9351851851851852
19042477,SP2025,82.12416666666667,57.894999999999996,0.8379105839416059,0.7883211678832117,1.0,1.0
19042647,F2024,67.18498050905755,0.0,0.6819999999999999,0.208,0.653565627873524,0.32
19042647,SP2025,99.23962264150943,97.6,0.9404633065347351,0.923469387755102,0.9545454545454546,0.8181818181818182
19042695,F2024,4.860476190476191,0.0,0.21061226041777004,0.1548223350253807,0.25419753086419755,0.09259259259259259
19042777,F2024,96.43123545856511,92.1952,0.927,0.9,0.9893617021276596,0.9574468085106383
19042777,SP2025,99.03699106256207,97.6,0.9316249226963512,0.923469387755102,0.9545454545454546,0.8181818181818182
